"annotation_id","annotator","char_count","combined_text","created_at","filing_date","finbert_confidence","finbert_label","id","label","lead_time","paragraph_id","risk_heading","risk_section","ticker","updated_at"
2072,"1",276,"Risks Related to the Oil and Natural Gas Industry and Our Business
Our operations are substantially dependent on the availability of water. Restrictions on our ability to obtain water may have an adverse effect on our financial condition, results of operations and cash flows.","2026-03-16T02:50:10.182970Z","2022-02-24",0.9739,"Natural Capital",1077,"Natural Capital",2.502,"FANG_2022_RISK_044","Risks Related to the Oil and Natural Gas Industry and Our Business","","FANG","2026-03-16T02:50:10.182990Z"
2073,"1",1051,"Supply of quality water, agricultural, and other raw materials, certain raw and packaging materials purchased under supply contracts; supply chain disruptions and other factors; limited group of certain suppliers
The water supplies for our current Mexican breweries and the Veracruz Brewery, which originate from separate and distinct aquifers, are subject to disruption which could impact our ability to produce our products. The sources of water, methods of water delivery, water quality, or water needs to support our ongoing requirements may change materially in the future. We may incur additional expenses for improving water delivery, quality, and efficiency as well as for securing additional water sources. Our breweries, the Glass Plant, our wineries, and our distilleries use a large volume of agricultural and other raw materials to produce our products. These include corn starch and sugars, malt, hops, fruits, yeast, and water for our breweries; soda ash and silica sand for the Glass Plant; grapes and water for our wineries; and grain","2026-03-16T02:50:13.319900Z","2025-04-23",0.9794,"Natural Capital",1078,"Natural Capital",2.619,"STZ_2025_RISK_020","Supply of quality water, agricultural, and other raw materials, certain raw and packaging materials purchased under supply contracts; supply chain disruptions and other factors; limited group of certain suppliers","Operational Risks","STZ","2026-03-16T02:50:13.319908Z"
2074,"1",2008,"Salar de Atacama/La Negra, Chile
•Mineral resources are reported exclusive of mineral reserves. Mineral resources are not mineral reserves and do not have demonstrated economic viability. •Given the dynamic reserve versus the static resource, a direct measurement of resources post-reserve extraction is not practical. Therefore, as a simplification, to calculate mineral resources, exclusive of reserves, the quantity of lithium pumped in the life of mine plan was subtracted from the overall resource without modification to lithium concentration. Measured and indicated resource were deducted proportionate to their contribution to the overall mineral resource.•Resources are reported on an in-situ basis. •Resources are reported between the elevations of 2,299 meters above mean sea level (“mamsl”) and 2,200 masl. Resources are reported as lithium metal.•Resources have been categorized subject to the opinion of a QP based on the amount/robustness of informing data for the estimate, consistency of geological/grade distribution, survey information.•Resources have been calculated using drainable porosity estimated from measured values in Upper Halite and volcanic, gypsum and clastic units, and bibliographical values based on the lithology and QP’s experience in similar deposits.•The estimated economic cutoff grade utilized for resource reporting purposes is 670 mg/l lithium, based on the following assumptions:◦A technical grade lithium carbonate price of $11,000/MT CIF La Negra. This is a 10% premium to the price utilized for reserve reporting purposes. The 10% premium applied to the resource versus the reserve was selected to generate a resource larger than the reserve, ensuring the resource fully encompassed the reserve while still maintaining reasonable prospect for eventual economic extraction.◦Recovery factors for the salar operation increase gradually over the span of four years, from the current 40% to the proposed Salar Yield Improvement Program (“SYIP”) 65% recovery in 2025.","2026-03-16T02:50:25.631619Z","2022-02-22",0.5865,"Natural Capital",1079,"Natural Capital",11.782,"ALB_2022_RISK_116","Salar de Atacama/La Negra, Chile","Salar de Atacama/La Negra, Chile","ALB","2026-03-16T02:50:25.631628Z"
2075,"1",1533,"Risks Related to our Business
We face direct and indirect supply chain risks that may adversely affect our business. Our business could be negatively affected by supply shortages and/or price increases driven by the increased costs of materials and logistics as a result of macroeconomic conditions, including the prolonged Ukraine/Russia conflict, general inflationary pressures, labor shortages, part or equipment availability, manufacturing capacity, tariffs, trade disputes and barriers, natural disasters or pandemics and the effects of climate change.  Supply shortages and/or price increases could lead to a reduction in revenues and an increase in our operating costs and could have a material impact on our business segments and earnings, cash flow and financial condition. Supply chain issues may disrupt the operations and development activities of operators on our land, upon whom much of our revenue relies, which could negatively affect our revenues from oil and gas royalties, easements and our water offerings.  Supply chain issues could also lead to an increase in TPWR’s operating costs and disrupt its water sourcing and treatment operations, which could further negatively affect our revenues from our water offerings.  TPWR has adapted lead times for ordering parts and equipment to mitigate supply chain issues, but given the uncertainty surrounding the macroeconomic factors and geopolitical situation, there can be no assurance that we will not suffer adverse effects on our business operations in the future.","2026-03-16T02:50:53.626651Z","2024-02-21",0.7949,"Natural Capital",1080,"Non-ESG",27.459,"TPL_2024_RISK_021","Risks Related to our Business","Risks Related to our Business","TPL","2026-03-16T02:50:53.626658Z"
2076,"1",1988,"Risks Related to Our Industry and Business Operations
Our regulated water and wastewater operations and the operations of our Market-Based Businesses are subject to extensive federal, state and local laws and regulations. These requirements include, among others, CERCLA, the Clean Water Act, the Safe Drinking Water Act, the LCR, and other federal and state requirements. For example, state PUCs and environmental regulators set conditions and standards for the water and wastewater services we deliver. If we deliver water or wastewater services to our customers that do not comply with regulatory standards, or otherwise violate environmental laws, regulations or permits, or other health and safety and water quality regulations, we could incur substantial fines, penalties or other sanctions or costs, as well as damage to our reputation. In the most serious cases, regulators could reduce requested rate increases or force us to discontinue operations and sell our operating assets to another utility or to a municipality. Given the nature of our business which, in part, involves providing water service for human consumption, any potential non-compliance with, or violation of, environmental, water quality and health and safety laws or regulations would likely pose a more significant risk to us than to a company not similarly involved in the water and wastewater industry. In addition, CERCLA authorizes the EPA to issue orders and bring enforcement actions to compel responsible parties to investigate and take remedial actions with respect to actual or threatened releases of hazardous substances, and can impose joint and several liability, without regard to fault, on responsible parties for the costs thereof. We are also required to obtain various environmental permits from regulatory agencies for our operations. We incur substantial operating and capital costs on an ongoing basis to comply with environmental, water quality and health and safety laws and regulations.","2026-03-16T02:51:03.742221Z","2022-02-16",0.7185,"Natural Capital",1081,"Pollution & Waste",9.596,"AWK_2022_RISK_005","Risks Related to Our Industry and Business Operations","","AWK","2026-03-16T02:51:03.742232Z"
2077,"1",490,"Risks Related to Our Industry and Business Operations
Our operations and the quality of water we supply are subject to extensive and increasingly stringent environmental, water quality and health and safety laws and regulations, including with respect to contaminants of emerging concern, compliance with which could impact both our operating costs and capital expenditures, and violations of which could subject us to substantial liabilities and costs, as well as damage to our reputation.","2026-03-16T02:51:10.897646Z","2023-02-15",0.8854,"Natural Capital",1082,"Natural Capital",6.636,"AWK_2023_RISK_004","Risks Related to Our Industry and Business Operations","","AWK","2026-03-16T02:51:10.897657Z"
2078,"1",1244,"Business disruptions could harm our operations, lead to a decline in revenue and increase our costs.
We have not experienced significant impact or expense to our business; however, if the conflict is further extended or expanded, it could impact future product development, operations, and revenue or create other uncertainty for our business. Additionally, interruptions or delays in services from CSPs, data center co-location partners, and other third parties on which we rely, including due to the events described above or other events such as the insolvency of these parties, could impair our ability to provide our products and services and harm our business. As we increase our reliance on these third-party systems and services, our exposure to damage from service interruptions, defects, disruptions, outages, shortages and other performance and quality problems may increase. Data centers depend on access to clean water and predictable energy. Power or water shortages, land or permitting constraints, or regulations that limit energy, water, or land availability, could impair the ability of our customers to expand their data center capacity and consume our products and services, which may in turn negatively impact our business.","2026-03-16T02:51:31.083453Z","2025-02-26",0.7845,"Natural Capital",1083,"Natural Capital",4.708,"NVDA_2025_RISK_031","Business disruptions could harm our operations, lead to a decline in revenue and increase our costs.","Risk Factors","NVDA","2026-03-16T02:51:31.083464Z"
2079,"1",1402,"Our underground potash shaft mines are subject to risks of water inflows.
Over the past century, several potash mines experiencing water inflow problems have flooded. Since December 1985, we have had inflows of salt saturated brine water into our Esterhazy, Saskatchewan K1 and K2 potash mines. Due to an acceleration of brine inflows, on June 4, 2021 the Company announced a closure of our K1 and K2 potash mine shafts eliminating the risk of brine inflows. Our potash mines at Colonsay, Saskatchewan, Carlsbad, New Mexico and our Esterhazy, Saskatchewan K3 mine (though not contiguous with the K1/K2 underground inflow region) are also subject to risks from the inflow of water as a result of our underground shaft mining operations. Though minor inflows are regularly managed, it is possible that significant water inflows could occur which may present risks to our employees and our operations, and which may require us to incur brine management costs, change our mining processes, or abandon our operating mines. See the “Key Factors that can Affect Results of Operations and Financial Condition” and “Potash Net Sales and Gross Margin” sections of our Management’s Analysis in this Form 10-K report and the Esterhazy closure costs in Note 25 of this report, which sections are incorporated herein by reference, for a discussion of costs, risks and other information relating to the brine inflows.","2026-03-16T02:51:42.722474Z","2022-02-23",0.8927,"Natural Capital",1084,"Natural Capital",11.108,"MOS_2022_RISK_015","Our underground potash shaft mines are subject to risks of water inflows.","Operational Risks","MOS","2026-03-16T02:51:42.722497Z"
2080,"1",1833,"Operational risks
During 2021, PT-FI continued to advance work on the human health risk assessment to evaluate these potential impacts. A study conducted by third-party expert consultants with PT-FI support, assessed potential exposure pathways including surface waters, groundwaters, sediments and soils, dust and terrestrial and aquatic tissues. PT-FI continues further study and evaluation and, in furtherance of this effort, has been assisting local health authorities with a community health survey, which is providing further data to evaluate any potential impacts from operations and information on community health conditions. The ongoing study and evaluation, which is expected to be completed in the first half of 2022, will assist in determining what additional monitoring and mitigation efforts may be required in the future. In the past, the Indonesia government has raised questions with respect to our tailings and overburden management plans, including a suggestion that we implement a pipeline system rather than the river transport system for tailings management. Our Indonesia mining operations are remotely located in steep mountainous terrain and in an active seismic area; such that, a pipeline system would be difficult to construct and maintain, and more prone to catastrophic failure, and could therefore involve significant potentially adverse environmental issues. Based on our own studies and others conducted by third parties, we do not believe that a pipeline system for all mine tailings is feasible. Overtopping or levee failure induced by extreme weather events is a potential risk. Additionally, unanticipated structural failure of the levee system in the future could result in flooding of the nearby communities and related loss of lives and/or severe personal, property and environmental damages.","2026-03-16T02:51:58.440060Z","2022-02-15",0.7237,"Natural Capital",1085,"Community Relations",15.181,"FCX_2022_RISK_046","Operational risks","Operational risks","FCX","2026-03-16T02:51:58.440069Z"
2081,"1",218,"Environmental Sampling in the Cadia Area
Our Company and the mining industry are facing continued geotechnical, geothermal, and hydrogeological challenges, which could adversely impact our production and profitability.","2026-03-16T02:52:04.663603Z","2025-02-21",0.6653,"Natural Capital",1086,"Non-ESG",5.694,"NEM_2025_RISK_094","Environmental Sampling in the Cadia Area","Waste Rock and Tailings Management","NEM","2026-03-16T02:52:04.663614Z"
2082,"1",1896,"Salar de Atacama/La Negra, Chile
In 1990, the facilities at the Salar de Atacama were expanded with a new well system and the capacity of the lithium carbonate plant in the La Negra plant was expanded. In 1998, the lithium chloride plant in La Negra began operating, the same year that Chemetall purchased Foote Mineral Company. Subsequently, in 2004, Chemetall was acquired by Rockwood, and in 2015, Rockwood was acquired by Albemarle. Effective January 1, 2017, the Chilean government and Albemarle entered into an annex to the original agreement through which its duration was modified, extending it until the balance of: (a) the original 200,000 metric tons of LME and an additional 262,132 metric tons of LME granted through this annex have been exploited, processed, and sold, or (b) on January 1, 2044, whichever comes first. In addition, the amended agreement provides for commission payments to the Chilean government based on sales price/metric ton on the amounts sold under the additional quota granted, our support of research and development in Chile of lithium applications and solar energy, and our support of local communities in Northern Chile. Albemarle currently operates its extraction and production facilities in Chile under this mineral rights agreement with the Chilean government. The Salar de Atacama is a salt flat, the largest in Chile, located in the Atacama Desert in northern Chile, which is the driest non-polar place on the planet and thus has an extremely high annual rate of evaporation and extremely low annual rainfall. Our extraction through evaporation process works as follows: snow in the Andes Mountains melts and flows into underground pools of water containing brine, which generally have high concentrations of lithium. We then pump the water containing brine above ground through a series of pumps and wells into a network of large evaporation ponds.","2026-03-16T02:52:17.481507Z","2026-02-11",0.7703,"Natural Capital",1087,"Non-ESG",12.268,"ALB_2026_RISK_158","Salar de Atacama/La Negra, Chile","Salar de Atacama/La Negra, Chile","ALB","2026-03-16T02:52:17.481526Z"
2083,"1",144,"12 OXY 2025 FORM 10-K
The Company’s operations could be adversely affected if it is unable to source water or sand or dispose of surplus fluids.","2026-03-16T02:52:21.294189Z","2026-02-18",0.8808,"Natural Capital",1088,"Natural Capital",3.281,"OXY_2026_RISK_030","12 OXY 2025 FORM 10-K","12 OXY 2025 FORM 10-K","OXY","2026-03-16T02:52:21.294201Z"
2084,"1",1276,"Risks Related to Our Industry and Business Operations
Seasonality could adversely affect the volume of water sold and our revenues. The volume of water we sell during the warmer months, typically in the summer, is generally greater than during other months, due primarily to increased water usage for irrigation systems, swimming pools, cooling systems and other applications. Throughout the year, and particularly during typically warmer months, the volume of water sold tends to vary with temperature, rainfall levels and rainfall frequency. In the event that temperatures during the typically warmer months are cooler than normal, or if there is more rainfall than normal, the amount of water we sell may decrease and adversely affect our revenues. Two of our regulated jurisdictions currently have a revenue stability mechanism that permit us to recover a portion or all of our authorized revenues in a general rate case, regardless of volumetric consumption. These mechanisms are designed to recognize declining sales resulting from reduced consumption, while providing an incentive for customers to use water more efficiently. In those jurisdictions that have not adopted a revenue stability mechanism, our operating results could continue to be affected by seasonality.","2026-03-16T02:55:41.869132Z","2025-02-19",0.7995,"Natural Capital",1089,"Natural Capital",200.037,"AWK_2025_RISK_030","Risks Related to Our Industry and Business Operations","","AWK","2026-03-16T02:55:41.869143Z"
2085,"1",1945,"Safi, Jordan
The climate, geology and location provide a setting that makes the Dead Sea a valuable large-scale natural resource for potash and bromine. Today, the Dead Sea has a surface area of 583 km2 and a brine volume of 110 km3. The Dead Sea is the world’s saltiest natural lake, containing high concentrations of ions compared to that of regular sea water and an unusually high amount of magnesium and bromine. There is an estimated 900 million tonnes of bromine in the Dead Sea. Mining methods consist of all activities necessary to extract brine from the Dead Sea and extract Bromine. The low rainfall, low humidity and high temperatures in the Dead Sea area provide ideal conditions for recovering potash from the brine by solar evaporation. JBC obtains its feedbrine from APC’s evaporation pond and this supply is intimately linked to the APC operation. As evaporation takes place the specific gravity of the brine increases until its constituent salts progressively crystallize and precipitate out of solution, starting with sodium chloride (common salt) precipitating out to the bottom of the ponds (pre-carnallite ponds). Brine is transferred to other pans in succession where its specific gravity increases further, ultimately precipitating out of the sodium chloride. Carnallite precipitation takes place at the evaporation pond. where it is harvested from the brine and pumped as slurry to a process plant (where the potassium chloride is separated from the magnesium chloride). JBC extracts the bromide-rich, “carnallite-free” brine through a pumping station. This brine feeds the bromine and magnesium plants. There is no exploration as typically conducted for the characterization of a mineral deposit. Infrastructure and facilities to support the operation of the bromine production plant at the Safi site is compact and contained in an approximately 33 ha area. JBC ships product in bulk through a storage terminal in Aqaba.","2026-03-16T02:55:59.944804Z","2022-02-22",0.5796,"Natural Capital",1090,"Non-ESG",17.509,"ALB_2022_RISK_128","Safi, Jordan","Safi, Jordan","ALB","2026-03-16T02:55:59.944817Z"
2086,"1",514,"Risks Related to Our Industry and Business Operations
Our operations and the quality of water we supply and wastewater we treat are subject to extensive and increasingly stringent environmental, water quality and health and safety laws and regulations, including with respect to contaminants of emerging concern, compliance with which could impact both our operating costs and capital expenditures, and violations of which could subject us to substantial liabilities and costs, as well as damage to our reputation.","2026-03-16T02:56:30.347762Z","2026-02-18",0.6158,"Natural Capital",1091,"Natural Capital",29.832,"AWK_2026_RISK_011","Risks Related to Our Industry and Business Operations","Additional Risks Related to Our Business","AWK","2026-03-16T02:56:30.347774Z"
2087,"1",1810,"Industry Risks
Our business is affected by potato crop performance. Our primary input is potatoes and every year, we must procure potatoes that meet the quality standards for processing into value-added products. Environmental and climate conditions, such as soil quality, moisture, and temperature, affect the yield and quality of the potato crop on a year-to-year basis. As a result, we source potatoes from specific regions of the U.S. and specific countries abroad, including Argentina, Australia, Austria, Belgium, Canada, China, France, Germany, the Netherlands, and the United Kingdom, where we believe the optimal potato growing conditions exist. However, severe weather conditions, including protracted periods of extreme heat or cold, during the planting and growing season in these regions can significantly affect potato crop performance, such as the extreme heat in the Pacific Northwest in the summer of 2021 and the drought in Europe during fiscal 2019, both of which resulted in poor crop and significantly limited supply. Further, because of the poor quality of the crop in the Pacific Northwest that was harvested in fall 2021, we encountered lower raw potato utilization rates in our production facilities during the second half of fiscal 2022 and early fiscal 2023, which increased our production costs. On the other hand, too much water, such as in times of prolonged heavy rainfalls or flooding, can promote harmful crop conditions like mildew growth and increase risks of diseases, as well as affect our ability to harvest the potatoes. Potatoes are also susceptible to pest diseases and insects that can cause crop failure, decreased yields, and negatively affect the physical appearance of the potatoes. We have deep experience in agronomy and actively work to monitor the potato crop.","2026-03-16T02:56:47.765040Z","2023-07-25",0.6691,"Natural Capital",1092,"Non-ESG",16.893,"LW_2023_RISK_027","Industry Risks","Industry Risks","LW","2026-03-16T02:56:47.765051Z"
2088,"1",1624,"AGGREGATES RESOURCES
Mineral resources are defined as a concentration or occurrence of material of economic interest in or on the earth’s crust in such form, grade or quality, and quantity that there are reasonable prospects for its economic extraction. Mineral resources are classified into three categories, in decreasing level of confidence, as follows:Measured — based on conclusive geological evidence and sampling, meaning that evidence is sufficient to test and confirm geological and grade or quality continuity. After applying modifying factors (as noted in the Aggregates Reserves section below), measured resources may be converted to either proven or probable reservesIndicated — based on adequate geological evidence and sampling, meaning that evidence is sufficient to establish geological and grade or quality continuity with reasonable certainty. After applying modifying factors, indicated resources may be converted to probable reservesInferred — based on limited geological evidence and sampling, meaning that evidence is only sufficient to establish that geological and grade or quality continuity is more likely than not. Inferred resources may not be converted to reservesOur reported aggregates resources do not include amounts that have been identified as mineral reserves. Our 2023 measured, indicated and inferred aggregates resources are based on an initial assessment using an average sales price assumption ranging from approximately $12.00 to $23.00 per ton depending on the location/market. The table below presents, by division, details of our aggregates resources as of December 31, 2023.","2026-03-16T02:57:02.617479Z","2024-02-22",0.6328,"Natural Capital",1093,"Non-ESG",14.302,"VMC_2024_RISK_023","AGGREGATES RESOURCES","AGGREGATES RESOURCES","VMC","2026-03-16T02:57:02.617490Z"
2089,"1",1018,"RISKS RELATED TO CLIMATE CHANGE, ENERGY TRANSITION, AND ESG MATTERS
The treatment and disposal of produced water is becoming more highly regulated and restricted. Regulators in some states, such as the Railroad Commission of Texas, have taken actions to limit disposal well activities (including orders to temporarily shut down or to curtail water injection) and to require the monitoring of seismic activity. While the Company remains focused on reusing or recycling water over disposal of water, the Company’s costs for obtaining and disposing of water could increase significantly if reusing and recycling water becomes impractical. Further, compliance with reporting and environmental regulations governing the withdrawal, storage, use, and discharge of water and restrictions related to disposal wells may increase the Company’s operating costs or capital expenses or cause the Company to limit production, which could materially and adversely affect its business, results of operations, and financial conditions.","2026-03-16T02:57:43.236927Z","2026-02-26",0.8433,"Natural Capital",1094,"Natural Capital",40.101,"APA_2026_RISK_077","RISKS RELATED TO CLIMATE CHANGE, ENERGY TRANSITION, AND ESG MATTERS","RISKS RELATED TO OPERATIONS, SAFETY, AND EXPLORATION AND DEVELOPMENT PROJECTS","APA","2026-03-16T02:57:43.236936Z"
2090,"1",1880,"Environmental Sampling in the Cadia Area
One such shaft wall failure incident occurred at Cadia in 2022, resulting in the need to abandon and backfill a shaft shortly after the completion of excavation to prevent further unravelling of the shaft wall and potential interruptions to other operations. Operations may also experience challenges to operating conditions, such as inundation, inrush of water or other materials, airblast and those relating to elevated temperatures (including management and discharge of hot water encountered in the underground workings). These risks could result in damage to, or destruction of, mineral properties, production facilities, equipment or other properties, personal injury or death of employees or third parties, environmental damage, community outrage, delays in mining, increased production costs, monetary losses and possible legal liability. Our operations are also subject to risks associated with a natural disaster, which include risk of tsunami, wildfires, mine flooding, geysers and outbursts, cyclones, avalanches and landslides. In addition, seismic activity may impact operations that are located in seismically active areas and subject to risks of earthquakes, such as Cadia and, with the related risks of tidal surge and tsunamis, Lihir. For instance, a large seismic event in 2017 impacted Cadia resulting in a temporary suspension of operations. Additionally, our Lihir operation is located within the Luise Caldera of the Luise Volcano which is located on the east coast of the Aniolam Island. The caldera is geothermally active in the form of hot springs and fumaroles. Adverse geotechnical, geothermal and hydrogeological conditions, including surface or underground fires, floods, droughts, geysers and outbursts, coastal erosion and landslides, avalanches, cyclones and pit wall failures, can be difficult to predict.","2026-03-16T02:57:55.269484Z","2026-02-19",0.7706,"Natural Capital",1095,"Non-ESG",11.521,"NEM_2026_RISK_097","Environmental Sampling in the Cadia Area","Waste Rock and Tailings Management","NEM","2026-03-16T02:57:55.269493Z"
2091,"1",1718,"Risks Related to Our Industry
Increased precipitation and severe storm events may potentially impact tailings storage facilities in the future by exceeding water management capacity, overtopping the facility, and/or undermining the geotechnical stability of the structure. We have experienced impacts at various sites in recent years due to heavy rainfall and severe storms. For example, in 2022, Yanacocha experienced heavy rainfall, above average historical levels, which resulted in significant water balance stress and required active emergency management. Refer to Note 25 to the Consolidated Financial Statements under the heading Environmental Matters - Minera Yanacocha S.R.L, for additional information. Increased amounts of water may also result in flooding of mine pits, maintenance and storage facilities; or may exceed current water management and treatment capacity to store and treat water, physical conditions resulting in an unintended overflow and discharge either on or off of the mine site property. See the risk factor above under the heading “Our operations are subject to a range of risks related to transitioning the business to meet regulatory, societal and investor expectations for operating in a low-carbon economy” for additional information. Operations have identified seepage from infrastructure (tailings, waste rock and seepage) that may have an impact on groundwater. We are currently managing this risk through monitoring, collection and treatment systems. There is a risk that the seepage could have an impact on beneficial use of groundwater resulting in increased requirements for collection and treatment as well as the potential requirement to provide alternative water sources.","2026-03-16T02:58:06.993760Z","2023-02-23",0.8458,"Natural Capital",1096,"Non-ESG",11.212,"NEM_2023_RISK_087","Risks Related to Our Industry","Risks Related to Our Industry","NEM","2026-03-16T02:58:06.993769Z"
2092,"1",1877,"Risks Related to Our Operations and Business
The Company appealed this approval to the Mining Council requesting the regulatory extension until 2027, and in April 2024, MINEM approved the compliance schedule. The Company is conducting detailed studies to better estimate water management and other closure activities that will ensure water quality and quantity discharge requirements, including the modifications promulgated by MINAM, as referenced above, will be met. During 2025, a comprehensive update to the Yanacocha reclamation plan was completed which addressed changes in closure activities and estimated closure costs while aiming to preserve optionality for potential future projects at Yanacocha. Ongoing studies, which will extend beyond the current year, continue to evaluate and revise assumptions and estimated costs of changes to the reclamation plan. While certain estimated costs remain subject to revision, the Company’s asset retirement obligation includes construction and operating costs for two new water treatment plants and initial consideration of known risks (including the associated risk that these water treatment estimates could change in the future as more work is completed). The ultimate water treatment costs of the two water treatment plants remain uncertain as ongoing study work and assessment of opportunities that incorporates the latest design considerations remain in progress. These and other risks and contingencies that are the subject of ongoing studies could result in future material increases to the reclamation obligation at Yanacocha, including, but not limited to, a comprehensive review of our tailings storage facility management, review of Yanacocha’s water balance and storm water management system and review of post-closure management costs. The ongoing Yanacocha closure studies are expected to continue in the future.","2026-03-16T02:59:22.210118Z","2026-02-19",0.7792,"Natural Capital",1097,"Pollution & Waste",74.707,"NEM_2026_RISK_019","Risks Related to Our Operations and Business","Risks Related to Our Operations and Business","NEM","2026-03-16T02:59:22.210127Z"
2093,"1",1996,"Risks Related to Our Operations and Business
We may also have to identify adequate sources of water and power for new projects, ensure that appropriate community infrastructure (for example, reliable rail, ports, roads, and bridges) is developed to support the project and secure appropriate financing to fund a new project. These infrastructures and services are often provided by third parties whose operational activities are outside of our control. Establishing infrastructure for our development projects requires significant resources, identification of adequate sources of raw materials and supplies, and the cooperation of national and regional governments, none of which can be assured. In addition, new projects have no operating history upon which to base estimates of future financial and operating performance, including future cash flow. Thus, it is possible that actual costs may increase significantly and economic returns may differ materially from our estimates. Consequently, our future development activities may not result in the expansion or replacement of current production with new production, or one or more of these new production sites or facilities may be less profitable than currently anticipated or may not be profitable at all, any of which could have a material adverse effect on our results of operations and financial position. For our existing operations, we base our mine plans on geological and metallurgical assumptions, financial projections and commodity price estimates. These estimates are periodically updated to reflect changes in our operations, including modifications to our proven and probable reserves and resources, revisions to environmental obligations, changes in legislation and/or our political or economic environment, and other significant events associated with mining operations. Further, future positive revisions, if any, remain subject to improvements in costs, recovery, commodity price or a combination of these and other factors.","2026-03-16T02:59:31.523833Z","2022-02-24",0.5838,"Natural Capital",1098,"Non-ESG",8.81,"NEM_2022_RISK_015","Risks Related to Our Operations and Business","Risks Related to Our Operations and Business","NEM","2026-03-16T02:59:31.523866Z"
2094,"1",1944,"Safi, Jordan
The climate, geology and location provide a setting that makes the Dead Sea a valuable large-scale natural resource for potash and bromine. Today, the Dead Sea has a surface area of 583 km2 and a brine volume of 110 km3. The Dead Sea is the world’s saltiest natural lake, containing high concentrations of ions compared to that of regular sea water and an unusually high amount of magnesium and bromine. There is an estimated 900 million tonnes of bromine in the Dead Sea. Mining methods consist of all activities necessary to extract brine from the Dead Sea and extract Bromine. The low rainfall, low humidity and high temperatures in the Dead Sea area provide ideal conditions for recovering potash from the brine by solar evaporation. JBC obtains its feedbrine from APC’s evaporation pond and this supply is intimately linked to the APC operation. As evaporation takes place the specific gravity of the brine increases until its constituent salts progressively crystallize and precipitate out of solution, starting with sodium chloride (common salt) precipitating out to the bottom of the ponds (pre-carnallite ponds). Brine is transferred to other pans in succession where its specific gravity increases further, ultimately precipitating out of the sodium chloride. Carnallite precipitation takes place at the evaporation pond where it is harvested from the brine and pumped as slurry to a process plant (where the potassium chloride is separated from the magnesium chloride). JBC extracts the bromide-rich, “carnallite-free” brine through a pumping station. This brine feeds the bromine and magnesium plants. There is no exploration as typically conducted for the characterization of a mineral deposit. Infrastructure and facilities to support the operation of the bromine production plant at the Safi site is compact and contained in an approximately 33 ha area. JBC ships product in bulk through a storage terminal in Aqaba.","2026-03-16T02:59:40.654560Z","2023-02-15",0.5979,"Natural Capital",1099,"Non-ESG",8.623,"ALB_2023_RISK_141","Safi, Jordan","Safi, Jordan","ALB","2026-03-16T02:59:40.654569Z"
2095,"1",1253,"Risks Related to Our Business
Such material failures could also trigger enforcement actions, require remediation or corrective measures, lead to operational restrictions or permit suspension or revocation, harm our reputation or result in third‑party claims for personal injury, property damage and other losses, any of which could materially and adversely affect our business, financial condition, results of operations and liquidity. Negative public opinion or adverse perceptions of Transmissive’s operations or reputation could materially affect our business, results of operations, or prospects over time. Negative sentiment may arise from unfavorable portrayals of produced water, water treatment operations or discharge locations by the media, special interest groups, political leaders, stakeholders, or other parties, including organized opposition to specific projects or the energy industry in general. Potential impacts of such sentiment include operational delays or interruptions, legal or regulatory challenges, blockades, increased regulatory oversight, reduced public or governmental support, and the delay, challenge, or revocation of regulatory approvals, permits, or licenses, each of which may increase costs or cause cost overruns.","2026-03-16T03:00:01.500119Z","2026-02-18",0.772,"Natural Capital",1100,"Non-ESG",20.338,"TPL_2026_RISK_016","Risks Related to Our Business","Risks Related to Our Business","TPL","2026-03-16T03:00:01.500129Z"
2096,"1",1385,"Risks Related to Our Business, Operations, and Industry
While sales of our products into the regions, and to customers that sell into these regions, have been negatively impacted by the Russian invasion of Ukraine, at this time, we have not experienced a material impact on our business, results of operations or financial conditions. Additionally, certain materials are primarily available in a limited number of countries, including rare earth elements, minerals, and metals. Trade disputes, geopolitical tensions, economic circumstances, political conditions, or public health issues, such as COVID-19, may limit our ability to obtain materials or equipment. Although rare earth and other materials are generally available from multiple suppliers, China is the predominant producer of certain of these materials. If China were to restrict or stop exporting these materials, our suppliers' ability to obtain such supply may be constrained and we may be unable to obtain sufficient quantities, or obtain supply in a timely manner, or at a commercially reasonable cost. Constrained supply of rare earth elements, minerals, and metals may restrict our ability to manufacture certain of our products and make it difficult or impossible to compete with other semiconductor memory manufacturers who are able to obtain sufficient quantities of these materials from China or other countries.","2026-03-16T03:00:16.620055Z","2023-05-25",0.5746,"Natural Capital",1101,"Non-ESG",14.607,"MCHP_2023_RISK_014","Risks Related to Our Business, Operations, and Industry","Risks Related to Our Business, Operations, and Industry","MCHP","2026-03-16T03:00:16.620063Z"
