review_rank,original_label,api_consensus_label,codex_suggested_label,dispute_reason,reviewed_label,reviewer_note,annotation_id,annotator,char_count,combined_text,created_at,filing_date,finbert_confidence,finbert_label,id,label,lead_time,paragraph_id,risk_heading,risk_section,split,ticker,updated_at
26,Product Liability,Business Ethics & Values,Product Liability,鴉片類藥物訴訟可視為產品傷害，也可視為重大爭議事件。,,,1808,1,1550,"Litigation and Regulatory Risks
We recorded a charge of $6.6 billion in the fiscal year ended September 30, 2020 related to the proposed global settlement and other related opioid litigation and recorded an additional $147.7 million accrual in the fiscal year ended September 30, 2021 in connection with the proposed settlement agreement and related obligations and other opioid-related litigation. Until such time as a plaintiff participates in a global settlement or otherwise resolves its lawsuit, we will continue to litigate and prepare for trial in the cases pending in the MDL, those remanded from the MDL to federal district courts, as well as in state courts where lawsuits have been filed, and we intend to continue to vigorously defend ourselves in all such cases. Since these matters are still developing, we are unable to predict the outcome, but the result of these lawsuits could include excessive monetary verdicts and/or injunctive relief, including changes to our anti-diversion programs, that may affect how we operate our business. Further, any final settlement amongst parties may differ materially from our advanced discussions related to global resolution of the MDL. The inability to reach a global settlement of the MDL and adverse resolution of any of these lawsuits or investigations could have a material adverse effect on our business, results of operations, and cash flows and could result in a lower than historical level of capital available for deployment, including a lower level of capital returned to stockholders.",2026-03-13T06:58:47.732549Z,2021-11-23,0.5769,Non-ESG,313,Product Liability,62.842,COR_2021_RISK_050,Litigation and Regulatory Risks,Litigation and Regulatory Risks,,COR,2026-03-13T06:58:47.732558Z
27,Non-ESG,Corporate Governance,Non-ESG,銀行資本與流動性要求主要是金融監管風險。,,,1815,1,1781,"Risks Relating to Compliance and the Regulatory Environment
The Company may be subject to more stringent capital and liquidity requirements. Bank holding companies, including M&T, are subject to capital and liquidity requirements and standards imposed as a result of the Dodd-Frank Act (as amended by EGRRCPA) and the U.S. Basel III-based capital rules. For additional information, see “Capital Requirements” under Part I, Item 1 — Business. Regulators have implemented and may, from time to time, implement changes to these regulatory capital adequacy and liquidity requirements. If the Company fails to meet these minimum capital adequacy and liquidity requirements and other regulatory requirements, its business activities, including lending, and its ability to expand, either organically or through acquisitions, could be limited. It could also result in M&T being required to take steps to increase its regulatory capital that may be dilutive to shareholders or limit its ability to pay dividends or otherwise return capital to shareholders, or sell or refrain from acquiring assets. In addition, the liquidity-related provisions of the Federal Reserve’s liquidity-related enhanced prudential supervision requirements may reduce the Company’s ability to invest in other longer-term assets even if deemed more desirable from a balance sheet management perspective, which could adversely affect its net interest income and net interest margin. The federal bank regulators have not yet released a proposal to implement the significant revisions of the Basel capital framework announced by the Basel Committee in December 2017, and the impact on the Company of these revisions will depend on the manner in which they are implemented in the U.S. with respect to firms such as M&T.",2026-03-13T07:02:03.068407Z,2023-02-22,0.8441,Non-ESG,320,Non-ESG,18.834,MTB_2023_RISK_035,Risks Relating to Compliance and the Regulatory Environment,Market Risk,,MTB,2026-03-13T07:02:03.068415Z
28,Non-ESG,Climate Change,Climate Change,段落明列氣候事件影響旅運與營運。,,,1828,1,1168,"Adverse worldwide economic or other conditions could reduce the demand for cruises and passenger spending, adversely impacting our operating results, cash flows and financial condition including impairing the value of our goodwill, ships,
Natural disasters (e.g. earthquakes, volcanos, wildfires), weather and/or climate events (including hurricanes and typhoons) could impact our source markets and operations resulting in travel restrictions, guest cancellations, an inability to source our crew or our provisions and supplies from certain places. We are often forced to alter itineraries and occasionally cancel a cruise or a series of cruises or to redeploy our ships due to these types of events, which could have an adverse effect on our sales, operating costs and profitability in the current and future periods. Increases in the frequency, severity or duration of these types of events could exacerbate their impact and disrupt our operations or make certain destinations less desirable or unavailable, impacting our revenues and profitability further. Any of the foregoing could have an adverse impact on our results of operations and on industry performance.",2026-03-13T07:05:08.162456Z,2022-03-01,0.9533,Non-ESG,333,Non-ESG,16.97,RCL_2022_RISK_040,"Adverse worldwide economic or other conditions could reduce the demand for cruises and passenger spending, adversely impacting our operating results, cash flows and financial condition including impairing the value of our goodwill, ships,",COVID-19 and Financial Risks,,RCL,2026-03-13T07:05:08.162467Z
29,Non-ESG,Climate Change,Climate Change,減排目標與相關監管成本直接屬氣候變遷。,,,1844,1,1186,"Macroeconomic and Industry Risks
There can be no assurances we will achieve our emission reduction targets or aspirations, or that the associated costs will not be higher than expected, or that the regulatory landscape will not have a negative impact on our results of operations, financial condition, and liquidity. Government mandates may lead to the premature adoption of unproven and unreliable technology, which could negatively affect operational reliability, customer service and supply chain continuity. Our Business, Financial Condition, and Results of Operations Have Been Adversely Affected, and in The Future, Could Be Materially Adversely Affected by Pandemics or Other Public Health Crises – Pandemics, epidemics, and other outbreaks of disease can have significant and widespread impacts. As we saw during the peaks of the COVID pandemic, outbreaks of disease can cause a global slowdown of economic activity (including the decrease in demand for a broad variety of goods), disruptions in global supply chains, and significant volatility and disruption of financial markets, resulting further in adverse effects on workforces, customers, and regional and local economies.",2026-03-14T04:28:57.764991Z,2025-02-07,0.3785,Human Capital,349,Non-ESG,40.857,UNP_2025_RISK_016,Macroeconomic and Industry Risks,Macroeconomic and Industry Risks,,UNP,2026-03-14T04:28:57.765002Z
30,Non-ESG,Corporate Governance,Non-ESG,REIT 資格與稅法測試主要是稅務風險。,,,1875,1,1089,"Risks Related to our REIT Status and Certain Other Tax Items
We believe that we have been organized and have operated in conformity with the requirements for qualification and taxation as a REIT and that our current organization and proposed method of operation enable us to continue to qualify as a REIT. However, qualification as a REIT involves the application of highly technical and complex Code provisions for which only a limited number of judicial or administrative interpretations exist, and we cannot assure you that we qualify or that we will remain qualified as a REIT. Our qualification as a REIT depends upon our satisfaction of certain asset, income, organizational, distribution, stockholder ownership, and other requirements on a continuing basis, and even a technical or inadvertent violation of these requirements could jeopardize our REIT qualification. In addition, our qualification as a REIT may depend upon the qualification as a REIT of certain subsidiary entities of our investments in unconsolidated joint ventures that have also elected to be treated as a REIT.",2026-03-14T06:52:02.286276Z,2024-02-21,0.5502,Corporate Governance,380,Non-ESG,17.668,INVH_2024_RISK_135,Risks Related to our REIT Status and Certain Other Tax Items,Risks Related to Our Indebtedness,,INVH,2026-03-14T06:52:02.286294Z
31,Non-ESG,Business Ethics & Values,Business Ethics & Values,明確指出賄賂與貪腐風險。,,,1918,1,323,"Risks related to operating in foreign jurisdictions
A significant portion of our operations are conducted in foreign jurisdictions, including jurisdictions presenting a high risk of bribery and corruption, and are subject to the economic, political, legal and business environments of the countries in which we do business.",2026-03-14T07:49:22.731410Z,2022-02-15,0.5554,Non-ESG,423,Non-ESG,7.528,ZTS_2022_RISK_131,Risks related to operating in foreign jurisdictions,Risks related to manufacturing,,ZTS,2026-03-14T07:49:22.731419Z
32,Non-ESG,Corporate Governance,Corporate Governance,股票發行與普通股股東直接涉及所有權結構。,,,1924,1,1151,"Sales or issuances of shares of our common stock may adversely affect the market price of our common stock.
Future sales or issuances of common stock or other equity related securities may adversely affect the market price of our common stock, including any shares of our common stock issued to finance capital expenditures, finance acquisitions or repay debt. In October 2020, we established an ""at the market"" equity offering program (the ""2020 ATM Program"") in the amount of $1.5 billion under which we may, from time to time, issue and sell shares of our common stock to or through sales agents up to established limits. As of December 31, 2021, we had $1.0 billion available for sale under the 2020 ATM Program. We expect to refresh our ATM program periodically, which could lead to additional dilution for our stockholders in the future. We may also seek authorization to sell additional shares of common stock through other means which could lead to additional dilution for our stockholders. Please see Note 12 within the Consolidated Financial Statements of this Annual Report on Form 10-K for sales of our common stock under our ATM programs.",2026-03-14T07:55:00.653533Z,2022-02-18,0.9471,Non-ESG,429,Non-ESG,220.617,EQIX_2022_RISK_052,Sales or issuances of shares of our common stock may adversely affect the market price of our common stock.,Risks Related to Our Expansion Plans,,EQIX,2026-03-14T07:55:00.653559Z
33,Non-ESG,Business Ethics & Values,Business Ethics & Values,違反和解條款與政府處分具有倫理爭議成分。,,,1935,1,217,"Risks Related to Our Business Model and Capital Structure
We are subject to the risks of additional government actions in the event we were to breach the terms of any settlement arrangement into which we have entered.",2026-03-14T08:17:09.118089Z,2022-08-05,0.9477,Non-ESG,440,Non-ESG,2.573,KLAC_2022_RISK_104,Risks Related to Our Business Model and Capital Structure,Risks Related to Our Business Model and Capital Structure,,KLAC,2026-03-14T08:17:09.118098Z
34,Non-ESG,Human Capital,Human Capital,關鍵人員留任是典型人力資本風險。,,,1939,1,221,"Risks Related to Our Personnel and Growth
Our success depends substantially on the continuing efforts of our senior executives and other key personnel, and our business may be severely disrupted if we lose their services.",2026-03-14T08:17:57.589309Z,2022-02-25,0.6613,Non-ESG,444,Non-ESG,30.64,EPAM_2022_RISK_011,Risks Related to Our Personnel and Growth,Risks Related to COVID-19,,EPAM,2026-03-14T08:17:57.589321Z
35,Non-ESG,Human Capital,Human Capital,員工福利成本直接屬人力資本管理。,,,1957,1,168,"Business and Operational Risks
Increasing employee benefit costs and funding requirements could have a negative effect on our operating results and financial condition.",2026-03-14T10:57:13.799946Z,2021-11-09,0.9874,Non-ESG,462,Non-ESG,22.223,ROK_2021_RISK_025,Business and Operational Risks,Business and Operational Risks,,ROK,2026-03-14T10:57:13.799957Z
36,Non-ESG,Pollution & Waste,Non-ESG,僅泛稱環境責任，未具體描述污染、廢棄物或排放。,,,1958,1,183,"Risks Relating to Strategic Transactions
Our operations expose us to the risk of material environmental liabilities, litigation, government enforcement actions, and reputational risk.",2026-03-14T10:57:39.531509Z,2021-11-09,0.9176,Non-ESG,463,Non-ESG,25.023,TEL_2021_RISK_035,Risks Relating to Strategic Transactions,,,TEL,2026-03-14T10:57:39.531521Z
37,Non-ESG,Business Ethics & Values,Non-ESG,段落主體是跨國所得稅估計，通常屬一般財稅風險。,,,1962,1,1980,"—Government and commercial payer actions outside the United States have affected and will continue to affect access to and sales of our products
We are subject to income and other taxes in the United States and other jurisdictions in which we do business. As a result, our provision for income taxes is derived from a combination of applicable tax rates in the various places we operate. Significant judgment is required for determining our provision for income tax. One or more of our legal entities file income tax returns in the U.S. federal jurisdiction, various U.S. state jurisdictions and certain foreign jurisdictions. Our income tax returns are routinely examined by tax authorities in those jurisdictions. Significant disputes can arise with tax authorities involving issues regarding the timing and amount of deductions, the use of tax credits and allocations of income and expenses among various tax jurisdictions because of differing interpretations of tax laws, regulations and relevant facts, and such tax authorities (including the IRS) are becoming more aggressive in their audits and are particularly focused on such matters. In 2017, we received an RAR and a modified RAR from the IRS for the years 2010, 2011 and 2012, proposing significant adjustments that primarily relate to the allocation of profits between certain of our entities in the United States and the U.S. territory of Puerto Rico. We disagreed with the proposed adjustments and calculations and pursued resolution with the IRS administrative appeals office but were unable to reach resolution. In July 2021, we filed a petition in the U.S. Tax Court to contest two duplicate Statutory Notices of Deficiency (Notices) for 2010, 2011 and 2012 that we received in May and July 2021 which seek to increase our U.S. taxable income. We firmly believe that the IRS’s positions set forth in the Notices are without merit, and are contesting the Notices through the judicial process. See Part II, Item 7.",2026-03-14T10:58:24.915367Z,2022-02-16,0.8661,Non-ESG,467,Non-ESG,10.943,AMGN_2022_RISK_045,—Government and commercial payer actions outside the United States have affected and will continue to affect access to and sales of our products,General Risk Factors,,AMGN,2026-03-14T10:58:24.915378Z
38,Non-ESG,Corporate Governance,Corporate Governance,控股公司與子公司股利依賴涉及所有權結構，但也可視為一般財務風險。,,,1974,1,308,"Risks Related to Ownership of Our Common Stock
We are a holding company and our only material assets are our equity interests in our subsidiaries. As a consequence, we depend on the ability of our subsidiaries to pay dividends and make other payments and distributions to us in order to meet our obligations.",2026-03-14T13:32:50.253984Z,2025-02-24,0.9261,Non-ESG,479,Non-ESG,7.377,KVUE_2025_RISK_149,Risks Related to Ownership of Our Common Stock,Risks Related to Financial and Economic Market Conditions,,KVUE,2026-03-14T13:32:50.253995Z
39,Business Ethics & Values,Human Capital,Human Capital,就業、工時、工作條件與職安法規均屬人力資本。,,,1982,1,1523,"Legal and Regulatory Risks
Our business is subject to complex and stringent state and federal regulations, including employment laws and regulations, minimum wage requirements, overtime requirements, working condition requirements, citizenship requirements, transportation and other laws and regulations. In particular, we are subject to the regulations promulgated by the U.S. Department of Transportation (USDOT) and under the Occupational Safety and Health Act of 1970, as amended (OSHA Act). We have incurred, and will continue to incur, capital and operating expenditures and other costs in the ordinary course of our business in complying with the USDOT regulations, the OSHA Act and other laws and regulations to which we are subject. Changes in laws, regulations and the related interpretations, including any laws or regulations that may be enacted by the current U.S. presidential administration and Congress, may alter the landscape in which we do business and may affect our costs of doing business. The impact of new laws and regulations cannot be predicted. Compliance with new laws and regulations may increase our operating costs or require significant capital expenditures. Any failure to comply with applicable laws or regulations could result in substantial fines by government authorities, payment of damages to private litigants, or possible revocation of our authority to conduct our operations, which could adversely affect our ability to service customers and our consolidated results of operations.",2026-03-14T13:36:19.477870Z,2021-07-28,0.4704,Business Ethics & Values,487,Business Ethics & Values,73.64,CTAS_2021_RISK_030,Legal and Regulatory Risks,Legal and Regulatory Risks,,CTAS,2026-03-14T13:36:19.477882Z
